OBJECTID,ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,RPL_THEMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,6,CALIFORNIA,CA,6037,Los Angeles,6037980024,0.0844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,6,CALIFORNIA,CA,6037,Los Angeles,6037980019,0.0846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,6,CALIFORNIA,CA,6037,Los Angeles,6037700700,0.0864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,6,CALIFORNIA,CA,6037,Los Angeles,6037194102,0.0875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,6,CALIFORNIA,CA,6037,Los Angeles,6037264301,0.0923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,6,CALIFORNIA,CA,6037,Los Angeles,6037108104,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,6,CALIFORNIA,CA,6037,Los Angeles,6037702700,0.0947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,6,CALIFORNIA,CA,6037,Los Angeles,6037143604,0.0949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,6,CALIFORNIA,CA,6037,Los Angeles,6037295103,0.0957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,6,CALIFORNIA,CA,6037,Los Angeles,6037216300,0.0959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,6,CALIFORNIA,CA,6037,Los Angeles,6037143400,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,6,CALIFORNIA,CA,6037,Los Angeles,6037106603,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,6,CALIFORNIA,CA,6037,Los Angeles,6037702501,0.0987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,6,CALIFORNIA,CA,6037,Los Angeles,6037108101,0.0993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,6,CALIFORNIA,CA,6037,Los Angeles,6037195500,0.0995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,6,CALIFORNIA,CA,6037,Los Angeles,6037141302,0.0999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,6,CALIFORNIA,CA,6037,Los Angeles,6037138000,0.1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,6,CALIFORNIA,CA,6037,Los Angeles,6037273800,0.1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,6,CALIFORNIA,CA,6037,Los Angeles,6037269906,0.1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,6,CALIFORNIA,CA,6037,Los Angeles,6037274202,0.1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,6,CALIFORNIA,CA,6037,Los Angeles,6037980026,0.1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,6,CALIFORNIA,CA,6037,Los Angeles,6037189701,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,6,CALIFORNIA,CA,6111,Ventura,6111007405,0.1126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,6,CALIFORNIA,CA,6037,Los Angeles,6037143800,0.1136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,6,CALIFORNIA,CA,6037,Los Angeles,6037701000,0.1153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,6,CALIFORNIA,CA,6037,Los Angeles,6037141303,0.1155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,6,CALIFORNIA,CA,6037,Los Angeles,6037700400,0.1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
